City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Orodara,BF,10.9492,-4.9342,80.98,22,82,1.99,broken clouds
196,Alofi,NU,-19.0595,-169.9187,80.49,83,92,6.91,overcast clouds
197,Ilulissat,GL,69.2167,-51.1,24.82,58,75,18.41,broken clouds
198,Wanning,CN,18.8003,110.3967,72.88,84,100,17.96,overcast clouds
199,Sodhra,PK,32.4616,74.1823,55.38,82,0,4.61,mist
200,Oistins,BB,13.0667,-59.5333,80.69,83,20,9.22,few clouds
201,Terekli-Mekteb,RU,44.1671,45.8698,43.72,91,84,7.43,broken clouds
202,Olinda,BR,-8.0089,-34.8553,83.93,70,40,9.22,scattered clouds
203,Kandrian,PG,-6.2167,149.55,82.53,76,100,3.44,overcast clouds
204,Daru,PG,-9.0763,143.2092,80.46,84,100,3.09,overcast clouds
205,Mahebourg,MU,-20.4081,57.7,73.69,88,40,5.75,scattered clouds
206,Lorengau,PG,-2.0226,147.2712,81.27,79,100,2.57,overcast clouds
207,Linkoping,SE,58.4109,15.6216,32.41,83,75,10.36,broken clouds
208,Athabasca,CA,54.7169,-113.2854,28.22,82,79,6.22,broken clouds
209,Mizdah,LY,31.4451,12.9801,63.39,52,32,8.25,scattered clouds
210,Krasnoselkup,RU,65.7,82.4667,5.65,95,100,11.27,light snow
211,Pandan,PH,14.0453,124.1694,79.03,88,100,8.68,overcast clouds
