City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Butterworth,MY,2021-11-23 05:08:34,5.3991,100.3638,87.84,74,20,10.36
177,Salalah,OM,2021-11-23 05:08:34,17.0151,54.0924,86.09,15,0,13.8
178,Wenling,CN,2021-11-23 05:08:35,28.3669,121.36,51.51,43,7,6.17
179,Sao Jose Do Campestre,BR,2021-11-23 05:08:35,-6.3156,-35.7139,72.9,85,69,5.53
180,Austin,US,2021-11-23 05:07:06,30.2672,-97.7431,58.69,44,1,1.99
181,Ust-Nera,RU,2021-11-23 05:08:35,64.5667,143.2,-23.82,98,66,2.93
182,Komsomolskiy,UZ,2021-11-23 05:08:36,40.4272,71.7189,42.22,29,6,1.72
183,Intipuca,SV,2021-11-23 05:08:36,13.1969,-88.0544,74.55,85,34,3.83
184,Hamilton,US,2021-11-23 05:04:03,39.1834,-84.5333,29.05,78,1,1.99
185,Saint George,US,2021-11-23 05:07:05,37.1041,-113.5841,48.79,32,1,1.99
186,Port Blair,IN,2021-11-23 05:09:36,11.6667,92.75,84.81,70,79,11.27
187,Zolotkovo,RU,2021-11-23 05:09:37,55.5281,41.1053,14.94,96,80,5.55
188,Tiquicheo,MX,2021-11-23 05:09:37,18.8833,-100.7333,74.1,70,44,2.42
189,Baniachang,BD,2021-11-23 05:09:37,24.5167,91.3667,81.07,48,0,4.61
190,Kawalu,ID,2021-11-23 05:09:38,-7.3817,108.2082,81.23,80,86,2.53
191,Taltal,CL,2021-11-23 05:09:38,-25.4,-70.4833,58.98,85,93,3.36
192,Ornskoldsvik,SE,2021-11-23 05:09:38,63.2909,18.7153,13.15,100,74,6.91
193,Chapais,CA,2021-11-23 05:09:38,49.7834,-74.8492,11.98,90,100,10.07
194,Broome,US,2021-11-23 05:09:39,42.2506,-75.833,29.01,76,1,3.0
195,Yumen,CN,2021-11-23 05:09:39,40.2833,97.2,35.87,23,5,27.34
196,Islamkot,PK,2021-11-23 05:09:39,24.6997,70.177,82.58,11,1,0.45
197,Ketchikan,US,2021-11-23 05:09:40,55.3422,-131.6461,39.18,93,90,3.44
198,Huadian,CN,2021-11-23 05:09:40,42.9633,126.7478,18.5,59,100,19.82
199,Saint-Augustin,CA,2021-11-23 05:09:40,51.226,-58.6502,41.23,80,100,21.83
200,Kaitangata,NZ,2021-11-23 05:09:41,-46.2817,169.8464,55.81,64,77,5.06
201,La Serena,CL,2021-11-23 05:09:41,-29.9078,-71.2542,58.51,82,90,5.75
202,Warrington,GB,2021-11-23 05:09:41,53.3925,-2.5802,48.27,94,90,8.05
203,Kamenka,RU,2021-11-23 05:09:42,51.3223,42.7678,27.75,75,100,5.23
204,Half Moon Bay,US,2021-11-23 05:06:15,37.4636,-122.4286,60.62,73,1,0.0
205,Chuy,UY,2021-11-23 05:09:42,-33.6971,-53.4616,62.56,68,7,16.26
206,Kodiak,US,2021-11-23 05:09:42,57.79,-152.4072,11.71,62,1,6.91
207,Popondetta,PG,2021-11-23 05:09:43,-8.7537,148.2534,87.49,63,42,4.27
208,Andenes,NO,2021-11-23 05:09:43,69.3143,16.1194,31.98,100,90,10.36
209,Faya,SA,2021-11-23 05:09:43,18.3851,42.4509,61.32,52,13,2.21
210,Llanes,ES,2021-11-23 05:09:44,43.4198,-4.7549,55.89,82,100,16.82
211,Hami,CN,2021-11-23 05:09:44,42.8,93.45,31.44,42,53,1.72
212,Shingu,JP,2021-11-23 05:09:45,33.7333,135.9833,54.09,54,4,14.32
213,Batagay,RU,2021-11-23 05:09:45,67.6333,134.6333,-30.82,99,24,2.77
214,Avera,US,2021-11-23 05:09:45,33.194,-82.5271,49.87,40,25,10.63
215,Columbus,US,2021-11-23 05:06:48,39.9612,-82.9988,29.57,80,1,8.05
216,Vanimo,PG,2021-11-23 05:09:46,-2.6741,141.3028,84.49,74,57,6.02
217,Lashio,MM,2021-11-23 05:07:51,22.9333,97.75,71.6,77,85,2.82
218,Hendek,TR,2021-11-23 05:09:46,40.7994,30.7481,47.95,64,13,5.91
219,Robertsport,LR,2021-11-23 05:09:47,6.7533,-11.3686,77.45,89,13,5.46
220,Lohja,FI,2021-11-23 05:09:47,60.2486,24.0653,34.18,100,100,2.82
221,Kudahuvadhoo,MV,2021-11-23 05:09:47,2.6708,72.8944,82.06,74,100,18.68
222,Shorapur,IN,2021-11-23 05:09:48,16.5167,76.75,80.17,71,32,7.18
223,Pueblo,US,2021-11-23 05:09:48,38.2545,-104.6091,47.84,35,1,5.75
224,Laguna,US,2021-11-23 05:09:48,38.421,-121.4238,57.02,92,1,0.0
225,Hithadhoo,MV,2021-11-23 05:09:48,-0.6,73.0833,81.16,79,100,17.81
226,Klyuchi,RU,2021-11-23 05:09:49,52.2667,79.1667,35.87,83,100,23.76
227,Warud,IN,2021-11-23 05:09:49,21.4667,78.2667,82.94,54,4,4.14
228,Zhangye,CN,2021-11-23 05:08:23,38.9342,100.4517,36.41,23,0,4.47
229,Udachnyy,RU,2021-11-23 05:10:50,66.4167,112.4,-29.7,100,89,6.69
230,Mega,ET,2021-11-23 05:10:50,4.05,38.3,66.18,52,87,9.4
231,Igrim,RU,2021-11-23 05:10:50,63.1906,64.4162,11.93,96,97,4.52
232,Kamaishi,JP,2021-11-23 05:10:51,39.2667,141.8833,48.33,73,72,14.83
233,Buraydah,SA,2021-11-23 05:10:51,26.326,43.975,60.37,67,3,12.12
234,Fukue,JP,2021-11-23 05:10:51,32.6881,128.8419,54.12,62,99,27.51
235,Vostok,RU,2021-11-23 05:10:52,46.4856,135.8833,10.58,91,100,14.07
236,Atbasar,KZ,2021-11-23 05:10:52,51.8,68.3333,26.74,94,82,16.15
237,Misratah,LY,2021-11-23 05:07:17,32.3754,15.0925,67.6,68,3,10.71
